LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2029;1951559
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2030;1986793
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2031;2023273
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2032;2060808
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2033;2099401
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2034;2139034
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2035;2179688
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2036;2221353
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2037;2264030
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2038;2307720
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2039;2352425
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2040;2398151
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2041;2444905
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2042;2492690
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2043;2541479
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2044;2591227
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2045;2641896
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2046;2693479
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2047;2745988
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2048;2799434
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2049;2853831
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2050;2909216
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2051;2965657
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2052;3023227
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2053;3081985
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2054;3141981
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2055;3203277
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2056;3265966
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2057;3330145
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2058;3395881
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2059;3463205
CAN;GDPLTFORECAST;TOT;MLN_USD;A;2060;3532133
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2016;323276.3459
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2017;338150.9896
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2018;351016.1049
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2019;362299.1141
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2020;369667.7
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2021;376983.5
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2022;384986.4
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2023;393664.7
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2024;402917.3
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2025;412658.5
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2026;422801.2
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2027;433234.9
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2028;443887.7
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2029;454669.3
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2030;465478
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2031;476217.2
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2032;486802
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2033;497170.9
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2034;507281.1
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2035;517122.6
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2036;526716.5
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2037;536156.1
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2038;545496.1
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2039;554804.8
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2040;564168.4
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2041;573665.1
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2042;583264.3
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2043;592950.5
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2044;602685.1
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2045;612424.7
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2046;622130
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2047;631827.7
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2048;641486.5
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2049;651099.1
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2050;660699.5
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2051;670356.6
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2052;680098
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2053;690039.1
CZE;GDPLTFORECAST;TOT;MLN_USD;A;2054;700295.1
